,Unnamed: 0,oscar movies,ratings,director
0,0,Ben-Hur,"<span class=""ipl-rating-star__rating"">8.1</span>","<a href=""/name/nm0943758/"">William Wyler</a>"
1,1,Titanic,"<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0000116/"">James Cameron</a>"
2,2,The Lord of the Rings: The Return of the King,"<span class=""ipl-rating-star__rating"">9</span>","<a href=""/name/nm0001392/"">Peter Jackson</a>"
3,3,West Side Story,"<span class=""ipl-rating-star__rating"">7.6</span>","<a href=""/name/nm0730385/"">Jerome Robbins</a>"
4,4,Gigi,"<span class=""ipl-rating-star__rating"">6.6</span>","<a href=""/name/nm0591486/"">Vincente Minnelli</a>"
5,5,The Last Emperor,"<span class=""ipl-rating-star__rating"">7.7</span>","<a href=""/name/nm0000934/"">Bernardo Bertolucci</a>"
6,6,The English Patient,"<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0005237/"">Anthony Minghella</a>"
7,7,Gone with the Wind,"<span class=""ipl-rating-star__rating"">8.2</span>","<a href=""/name/nm0281808/"">Victor Fleming</a>"
8,8,From Here to Eternity,"<span class=""ipl-rating-star__rating"">7.6</span>","<a href=""/name/nm0003593/"">Fred Zinnemann</a>"
9,9,On the Waterfront,"<span class=""ipl-rating-star__rating"">8.1</span>","<a href=""/name/nm0001415/"">Elia Kazan</a>"
10,10,My Fair Lady,"<span class=""ipl-rating-star__rating"">7.8</span>","<a href=""/name/nm0002030/"">George Cukor</a>"
11,11,Cabaret,"<span class=""ipl-rating-star__rating"">7.8</span>","<a href=""/name/nm0002080/"">Bob Fosse</a>"
12,12,Gandhi,"<span class=""ipl-rating-star__rating"">8.1</span>","<a href=""/name/nm0000277/"">Richard Attenborough</a>"
13,13,Amadeus,"<span class=""ipl-rating-star__rating"">8.4</span>","<a href=""/name/nm0001232/"">Milos Forman</a>"
14,14,Slumdog Millionaire,"<span class=""ipl-rating-star__rating"">8</span>","<a href=""/name/nm0000965/"">Danny Boyle</a>"
15,15,The Best Years of Our Lives,"<span class=""ipl-rating-star__rating"">8.1</span>","<a href=""/name/nm0943758/"">William Wyler</a>"
16,16,The Bridge on the River Kwai,"<span class=""ipl-rating-star__rating"">8.2</span>","<a href=""/name/nm0000180/"">David Lean</a>"
17,17,Lawrence of Arabia,"<span class=""ipl-rating-star__rating"">8.3</span>","<a href=""/name/nm0000180/"">David Lean</a>"
18,18,Patton,"<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0769874/"">Franklin J. Schaffner</a>"
19,19,The Sting,"<span class=""ipl-rating-star__rating"">8.3</span>","<a href=""/name/nm0001351/"">George Roy Hill</a>"
20,20,Out of Africa,"<span class=""ipl-rating-star__rating"">7.1</span>","<a href=""/name/nm0001628/"">Sydney Pollack</a>"
21,21,Dances with Wolves,"<span class=""ipl-rating-star__rating"">8</span>","<a href=""/name/nm0000126/"">Kevin Costner</a>"
22,22,Schindler's List,"<span class=""ipl-rating-star__rating"">9</span>","<a href=""/name/nm0000229/"">Steven Spielberg</a>"
23,23,Shakespeare in Love,"<span class=""ipl-rating-star__rating"">7.1</span>","<a href=""/name/nm0006960/"">John Madden</a>"
24,24,Gravity,"<span class=""ipl-rating-star__rating"">7.7</span>","<a href=""/name/nm0190859/"">Alfonso Cuarón</a>"
